,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
filename,overall adjusted,overall,1572907881384,1572907921742,1572907929680,1572907943239,1572907945930,1572907946984,1572907949867,1572907955936,1572907986847,1572907994501,1572908004927,1572908035409,1572908038514,1572908079163,1572908088920,1572908099965,1572908109395,1572908178473,1572908239039,1572908262691,1572908362137,1572908408335,1572908413125,1572908435567,1572908488817,1572908609141,1572908638615,1572908677106,1572908680223,1572908737663,1572908800150,1572908800458,1572908812729,1572908856160,1572908896884,1572908911542,1572908988825,1572909037981,1572909072221,1572909110113,1572909142532,1572909337865,1572909398717,1572909423153,1572909445537,1572909624625,1572909634555,1572909675113,1572909741619,1572909779582,1572909804790,1572909826560,1572909864221,1572909938880,1572909983221,1572910274280,1572910404153,1572910457023,1572910520720,1572910729840,1572910804235,1572910851298,1572911137532,1572911392203,1572911425807,1572911500784,1572911983135,1572912043699,1572912361427
MTurkID,,,A10IZOZGBH42K,A1T6IYPL8THZ4H,A12OZ7P7Z41SJI,AY832D29HUURG,A17TKHT8FEVH0R,A18SXC3JEN1O0U,A1RK4PGIIJGBQN,ARVI4C0REM69B,AYYBMS4XQJ9AP,ATP43ZVI1RP0C,A3ESBL8J4RUANK,A3TQUS51JKYUUE,A3ARMV9X1U8A3K,AJACXA5FC5BYZ,A17V85U8PXS4LJ,AGDJB8B8CDZ71,A2X1NEG8QWQOO6,ARO24O6F0DOXC,A30YR5TPOKQYXJ,AYHK8DTZONHKC,A2FIMENJ9UMN7M,A270JQUOEF9BUD,A1C9ZHH1PV21PG,A3C0NQ2IP5FTZQ,A2NWTHZJV8FR46,A1VXOAO2A1F74I,A1OCEC1TBE3CWA,A2OC4PZXSR522W,ALV4DAF8DIJ37,A28MDXDNK6QHMS,A1C0AWJ1JULKO2,AHYTT3T8W9Y9Y,A1PC5HFTBIR2QA,A37L5E8MHHQGZM,A1BF1W2XN5BWFQ,A1EIMXVUOG49SJ,A1DX0Z20W07YOR,A1YFVXP4A1CXSF,A24LB89P1BPKKF,A2VKACLXTMOQWO,A1YCZENBDZ5GGZ,A2CHDWKAYZ3P3E,A8WWSKUYQ4X5N,A3AW887GI0NLKF,A4TQSZDPARE7I,A1QGKIU6CUFBW3,A10AY39RH8ZB7I,A3HWIDZ2MRAKTX,A37YC7R1H04X9P,A1QEQOI98976S0,A359WCYOJEO9IG,A3BYKQV74U88WB,A2YWDJ41GY2QTD,AWAW665TQQP2F,A3JQOZVW7N38II,A1XV4C192MYSMZ,A29GLTXKFWGH1Z,A2T33L23VT78DZ,A1ZWDUFNFILYJJ,A7GUBXCBHLX,A1VXDD6BFF97OF,A2VFQ8DS884HLX,A2EC3L6VH2WTKF,AHOQWPD49OMW3,A1B9H14AV44C0G,A7QRHHOSXY49A,A1OILO7O7PBGGW,A248IBH3PEK4MP,A2C509MUKR5CIJ
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.001887967,-0.05845695,-11.82026168,-1.158373865,1.299240515,0.5696998667,25.23026433,18.90059895,-0.3239482445,-0.8224488206,0.04033571038,-11.9363859,-1.260782839,-5.991629271,-6.794842975,1.035767784,6.227557062,-11.4265367,0.5802792834,-0.01317043741,-0.8517815688,12.27358405,-6.120422356,-0.4088572551,-0.4118380803,-0.7602046339,1.102988743,3.70E-17,1.372444315,2.111039407,0.696543795,1.444541064,0.8045180256,-0.4505896473,-6.120422364,-0.815288486,12.25997311,-17.73931198,-0.592110886,-0.6749627152,-0.5085829551,1.69353861,0.006931846115,-11.83581919,-0.2585844506,0.00732779068,0.00311980577,-0.2687794577,-0.5619305578,-0.2832780209,-0.2551374119,17.12493846,6.031093798,0.007012123334,0.005896958151,-1.180802631,-1.459063948,0.01736067999,-0.2965684337,-8.076306568,-0.2521922429,0.6376104213,-6.057589747,-1.184934819,1.167019398,6.070252305,-1.234366661,5.291847255,-0.5170267052,6.030193918,-0.639743909
3,-0.885005105,-0.72240063,-29.61385874,-1.772314822,-0.4174510377,-17.20423111,-12.88389798,-6.329665395,0.05158158219,-7.714764414,-29.40995727,-29.44667794,-1.372391668,-12.21918634,-12.78308262,-5.57984275,-30.25362005,-12.57931229,-0.03567506435,-11.61247138,-1.920104481,11.7262952,-24.54465117,-6.702864223,-6.455490735,-2.087047156,-0.9594043297,-9.91E-17,-11.06691448,-11.25373195,-1.847532176,-0.3514204729,0.3776374854,-12.48233446,-7.192095778,1.036690993,-1.53E-16,12.19394944,-12.31840609,-0.7143767959,0.9752064014,0.5494822981,-1.840458652,-24.72099264,-0.2609453512,0.2759663468,0.3150862204,-0.5982777764,-0.2793066457,-0.2702501079,0.008062293623,5.690937525,-23.9391694,-0.2449494127,0.04938009079,-13.08703266,-0.8722194618,-0.2496695383,-0.8252995556,-7.563821923,0.2924949653,0.33270378,-17.73931198,-2.671256262,0.4507884802,-17.99406572,-7.125229408,-2.752250197,-1.41551879,-24.30408014,-18.44758399
4,-0.076002738,-0.09154875,0.6800796194,-0.6371033424,-0.7137591488,0.5472888476,44.44382771,38.11416227,-1.228244933,-1.219467421,-17.65193531,-17.78697394,0.3921975155,-12.21918634,-6.074427645,-11.11856292,-5.991629271,-11.59313553,0.5861395036,1.19E-16,-0.8010366693,12.29599507,-13.09758708,0.7616815013,-0.9581405911,-1.102754615,0.7057372004,-6.227557073,2.217665471,1.586883838,11.74980468,0.3588587056,-6.026827576,0.5246941858,-6.656259071,1.405123873,30.24031694,-29.67401626,-0.02241101909,1.238252975,0.9222250473,-0.04656961276,5.458480485,-13.07018585,-1.56E-06,-0.002650272167,0.8930096581,-0.5380271657,-0.2795086102,0.002359908644,-0.2649877825,17.62568485,-12.01306216,-0.2521741904,1.732614083,-1.807209416,-0.8478498175,0.01992170788,-0.5553047926,-5.797602449,-0.2359725776,1.824876627,-23.64579702,-2.361101607,1.150238978,-24.22162279,-0.6171833305,-0.4609798435,-0.7882091931,-11.76340314,0.0403357104
5,0.009216411,-0.06051346,0.7204153298,-13.28630229,0.7808109473,0.5921108859,37.94477899,31.61511357,-1.213266062,-0.5496095362,-5.99223131,-35.43890925,0.007464413849,24.26199077,-6.114763355,1.566052209,6.227557062,-13.17501926,0.9163146656,-0.3264047269,-1.176767867,18.64050291,-7.19209577,0.007427380034,0.4116380435,-1.078763253,0.2678529659,6.430512662,0.505593744,0.1484364667,0.1837254651,0.6518633972,1.162334067,-0.8846114515,-24.54465118,0.3266620394,42.49838289,-6.057589747,17.96319226,1.249807917,1.979754126,-0.3644027155,-0.3969019566,-5.8853217,-0.2561379919,-0.2569959563,0.5771302581,1.157800068,-0.8409462216,0.008525946022,0.2910446918,17.62568485,-35.87669059,0.2773114346,0.2972388466,-1.774923738,-0.8420164036,-0.5211126547,-0.288897167,-7.131197352,-0.5127157613,0.36198452,12.19394945,-1.057862269,1.18433823,-12.00243645,5.950497489,-0.8656669369,-1.349699368,-24.26374443,-0.6800796194
6,-0.481265734,-0.45287966,0.04033571038,-7.582601691,-1.836268893,-5.747227179,12.63257612,12.59768822,-1.562819991,-2.007343937,-23.50252334,-23.61360983,0.007048806703,-12.21918634,-6.754507264,-16.69983609,-17.99406572,-12.02224367,0.5699438551,-0.3982228003,-1.516131296,12.31840609,-18.7984187,0.408729641,-0.3797708385,-1.090623914,-0.3316211243,-24.22162279,1.776711392,0.5763273065,6.196672246,-0.00731860154,-0.5628057072,-1.42587348,-6.017710112,0.3302450416,18.24154313,-23.64579702,-0.0448220382,0.8110340025,1.031485578,1.169194614,-0.7010986685,-18.9610486,-0.528519534,-0.5226840037,-0.8029576801,0.01224914832,0.2804529527,0.283375054,-0.5373403183,11.37158254,-12.01306216,-0.2569790956,-0.003645528493,-18.78988107,-0.5885813473,-0.5162863408,-0.825603843,-7.454197065,-0.2434915867,0.07306172075,-29.67401626,-2.372279162,1.504944406,-24.22162279,-18.7564769,-0.5376458963,-0.227199978,-30.50279409,-6.668319264
7,-0.162587439,-0.14934062,-17.67424888,-1.677252246,0.6856416651,1.139399734,18.92735361,6.302910718,-0.6084608094,-1.903020857,-11.82529942,-36.11898887,0.3812812412,5.988627174,-18.64991266,1.017678781,-11.98025645,-18.88244761,1.710968721,1.24E-16,-1.217190658,24.4067611,-7.294808022,-0.6730201622,0.8577607247,-1.716674556,-0.007111341309,-18.20781352,1.030967433,1.58747933,-0.7851385776,0.6761770122,1.248703389,-0.9011792947,-13.09758709,0.3254573018,6.257242049,4.43E-17,6.322096822,1.581724732,-1.106382676,0.2481616229,-1.054497523,-13.10563482,-0.002277778439,-0.0002475950383,0.5798257111,-0.01379912639,0.2405209744,0.3031341005,-0.2527014336,18.12643125,-12.01306216,0.001787032435,0.31928345,-0.5941211072,-1.164618054,0.2862467053,0.002799139249,-5.289755639,-0.8017246718,0.3326666772,5.84E-16,-2.810384937,2.8020611,-6.013809276,0.03544896531,-1.767012869,-0.5205305117,-17.60278784,6.114763357
8,-1.126537951,-0.84441936,-5.980876975,-24.90371055,-1.767342407,-23.07473965,-6.384849224,-19.2135634,-1.184398688,-2.405906483,-35.43890924,-36.15932458,-6.941199474,-18.649699,-30.59399195,-22.40350017,-24.06431803,-24.60155596,-0.3549666381,-6.041359952,-2.322340007,5.891432236,-30.41246329,-1.239455392,-12.01333549,-2.451795138,-1.013611524,-36.48117712,-5.50612031,-16.96039288,-1.636630682,-0.3774031425,-0.05243013445,-6.925032332,-7.29480803,0.3463838186,2.65E-16,-2.87E-16,-6.42697385,-6.26016296,-6.632974556,0.5165545169,-1.392308876,-30.59229609,-0.00232041599,0.002404388038,0.593077898,0.6142650557,-0.01107188779,1.315357167,0.2721700836,-11.61299954,-29.84765745,-0.5151509135,1.195416262,-7.498146947,0.04972128,0.00993003738,-0.8335663687,-7.141552458,-0.5198668267,0.9865497598,-11.88978628,-3.321020508,0.9150118935,-30.65213543,-1.269815626,-1.312803833,-0.8024642658,-23.62400053,-24.4792286
